;link;room;area;floor;all_floors;subway;sub_time;address;price
3810;https://www.mirkvartir.ru/301872607/;3;84.2;3;14;Водный Стадион;-;Москва, Ленинградское ш., 64;16000000
3811;https://www.mirkvartir.ru/299022748/;1;36.2;7;12;Орехово;7;Москва, Домодедовская ул., 22к1;9800000
3812;https://www.mirkvartir.ru/295808107/;2;58.5;3;7;Бутырская;16;Москва, ул. Руставели, 15б;16800000
3813;https://www.mirkvartir.ru/299631431/;2;53.6;13;16;Озёрная;11;Москва, Новозаводская ул., 18стр171;15900000
3814;https://www.mirkvartir.ru/301800054/;1;37.0;14;18;Проспект Вернадского;18;Москва, ул. Новаторов, 14к1;11111000
3815;https://www.mirkvartir.ru/285136501/;2;60.4;17;17;Новые Черемушки;14;Москва, ул. Наметкина, 9к1;22000000
3816;https://www.mirkvartir.ru/291128733/;2;60.8;1;16;Отрадное;-;Москва, Ясный проезд, 14к1;14000000
3817;https://www.mirkvartir.ru/303747445/;-;13.4;1;5;Тульская;16;Москва, пер. Щипковский 2-й, 11/13;2990000
3818;https://www.mirkvartir.ru/303927480/;1;32.3;7;9;Университет;13;Москва, ул. Вавилова, 46;12500000
3819;https://www.mirkvartir.ru/301639052/;2;51.0;1;16;Алтуфьево;16;Москва, Дубнинская ул., 36к4;10150000
3820;https://www.mirkvartir.ru/301119300/;1;24.0;6;6;Первомайская;16;Москва, Первомайская ул., 126;4599000
3821;https://www.mirkvartir.ru/301430484/;-;19.0;2;10;Бутырская;16;Москва, Шереметьевская ул., 85стр2;6500000
3822;https://www.mirkvartir.ru/302630331/;2;42.1;1;9;Кантемировская;19;Москва, Кантемировская ул., 31а;10500000
3823;https://www.mirkvartir.ru/302109495/;3;62.0;6;12;Люблино;12;Москва, Тихорецкий б-р, 4к2;13400000
3824;https://www.mirkvartir.ru/299635454/;3;80.0;3;4;Театральная;9;Москва, Петровский б-р, 9стр2;46900000
3825;https://www.mirkvartir.ru/302025601/;3;56.0;5;5;Новые Черемушки;18;Москва, Херсонская ул., 34к1;15299000
3826;https://www.mirkvartir.ru/302025068/;3;55.0;2;5;Рижская;13;Москва, ул. Сущевский Вал, 67;16900000
3827;https://www.mirkvartir.ru/302630514/;1;41.3;4;12;Спартак;13;Москва, Тушинская ул., 52;12000000
3828;https://www.mirkvartir.ru/295811935/;2;42.3;13;22;Новохохловская;12;Москва, Газгольдерная ул.;12500000
3829;https://www.mirkvartir.ru/299431624/;1;36.7;11;17;Зорге;12;Москва, ул. Народного Ополчения, 14к1;14200000
3830;https://www.mirkvartir.ru/299429656/;1;40.0;9;22;Бутырская;8;Москва, ул. Фонвизина, 13;14200000
3831;https://www.mirkvartir.ru/302109083/;2;65.2;3;5;Театральная;10;Москва, пер. Большой Сухаревский переулок, 18;35000000
3832;https://www.mirkvartir.ru/302631296/;2;54.0;5;7;Андроновка;16;Москва, Рязанский пр-кт, 33;16000000
3833;https://www.mirkvartir.ru/303812441/;3;82.5;17;17;-;-;Москва, Первомайская ул., 36к1;16000000
3834;https://www.mirkvartir.ru/303837108/;2;43.2;2;9;Савеловская;17;Москва, Петровско-Разумовский проезд, 18а;11600000
3835;https://www.mirkvartir.ru/303811706/;1;34.5;2;16;Ботанический Сад;16;Москва, Лазоревый проезд, 26;9900000
3836;https://www.mirkvartir.ru/302634069/;2;47.0;1;9;Красногвардейская;18;Москва, Ясеневая ул., 41к2;11500000
3837;https://www.mirkvartir.ru/301729378/;3;75.2;3;16;Спартак;10;Москва, ул. Маршала Катукова, 21к1;19000000
3838;https://www.mirkvartir.ru/293019329/;2;52.0;15;17;Пражская;20;Москва, Сумская ул., 7стр2;14200000
3839;https://www.mirkvartir.ru/302193095/;-;35.9;1;6;Курская;15;Москва, Новорязанская ул., 31/7стр5;4300000
3840;https://www.mirkvartir.ru/304023664/;2;60.0;9;11;Кутузовская;19;Москва, ул. Генерала Ермолова, 47;42000000
3841;https://www.mirkvartir.ru/303813370/;2;61.6;2;7;Электрозаводская;19;Москва, Малая Остроумовская ул., 19;17500000
3842;https://www.mirkvartir.ru/304024064/;2;57.1;10;23;Выхино;18;Москва, ул. Академика Скрябина;14950000
3843;https://www.mirkvartir.ru/299635537/;3;83.9;6;16;Прокшино;20;Москва, Пасечная ул., 5астр3;16500000
3844;https://www.mirkvartir.ru/301800054/;1;37.0;14;18;Проспект Вернадского;18;Москва, ул. Новаторов, 14к1;11111000
3845;https://www.mirkvartir.ru/301427689/;1;37.3;6;8;Коммунарка;-;Москва, кв-л Капотня 5-й, 67;8200000
3846;https://www.mirkvartir.ru/302630271/;1;38.0;10;16;Теплый Стан;-;Москва, ул. Теплый Стан, 5к1;10200000
3847;https://www.mirkvartir.ru/301872607/;3;84.2;3;14;Водный Стадион;-;Москва, Ленинградское ш., 64;16000000
3848;https://www.mirkvartir.ru/299631431/;2;53.6;13;16;Озёрная;11;Москва, Новозаводская ул., 18стр171;15900000
3849;https://www.mirkvartir.ru/301799777/;3;80.8;3;4;Ольховая;-;Москва, Пасечная ул., 5астр3;11716000
3850;https://www.mirkvartir.ru/302778970/;2;51.0;11;16;Выхино;18;Москва, Сормовская ул., 8к2;12500000
3851;https://www.mirkvartir.ru/301433300/;2;36.6;9;19;-;-;Москва, п. подсобного хозяйства Воскресенское;8000000
3852;https://www.mirkvartir.ru/302630355/;3;95.0;4;6;-;-;Москва, пер. Троицкий 1-й, 12;22300000
3853;https://www.mirkvartir.ru/302105968/;2;54.0;13;17;Крылатское;14;Москва, ул. Крылатские Холмы, 30к3;15800000
3854;https://www.mirkvartir.ru/297323462/;2;46.7;10;14;Цветной Бульвар;15;Москва, Октябрьский пер., 13;15100000
3855;https://www.mirkvartir.ru/299585751/;1;37.7;3;23;Кунцевская;-;Москва, Кастанаевская ул.;15000000
3856;https://www.mirkvartir.ru/299494154/;2;54.0;13;17;Боровское шоссе;6;Москва, Боровское ш.;14600000
3857;https://www.mirkvartir.ru/303811814/;3;72.5;5;23;-;-;Москва, ул. Говорова, 4;16000000
3858;https://www.mirkvartir.ru/302862674/;3;74.4;4;9;Бульвар Адмирала Ушакова;12;Москва, ул. Горчакова, 124к2;14500000
3859;https://www.mirkvartir.ru/303747380/;1;33.4;3;9;Медведково;10;Москва, Студеный проезд, 32к2;8700000
3860;https://www.mirkvartir.ru/284988355/;2;61.4;11;17;-;-;Москва, ул. Красного Маяка, 13к2стр1;13500000
3861;https://www.mirkvartir.ru/302971431/;4;150.1;4;7;Маяковская;11;Москва, Новослободская ул., 14/19стр8;49750000
3862;https://www.mirkvartir.ru/299431685/;2;71.1;5;14;Маяковская;13;Москва, Малая Грузинская ул., 28;34600000
